,id,address,categories,city,name,province,websites,lowerNames,cleanCategories,lowerCity
7338,AWkq7ErSa4HuVbedkrS_,315 Tenney Street,"Fast Food Restaurants,Take Out Restaurants,Hamburgers and Hot Dogs,Restaurants",Kewanee,McDonald's,IL,https://www.mcdonalds.com/us/en-us/location/IL/KEWANEE/315-S-TENNEY-ST/3924.html?cid=RF:YXT:RoN::Clicks,mcdonalds,"['hot dogs', 'hamburgers', 'take out']",kewanee
7339,AWkq-_onRxPSIh2RCyWh,1222 Central Park Dr Ste 106,"Take Out Restaurants,Fast Food Restaurants,Restaurants,Sandwich Shops",O Fallon,Subway,IL,http://www.subway.com/,subway,"['sandwich', 'take out']",o fallon
7340,AWkq9XexRxPSIh2RCqGl,574 E Oakton Street,"American Restaurants,Caterers,Take Out Restaurants,Fast Food Restaurants,Restaurants,Sandwich Shops",Des Plaines,Quiznos,IL,http://restaurants.quiznos.com/il/desplaines/oaktonstreetandswolfroad-60018,quiznos,"['caterers', 'american', 'sandwich', 'take out']",des plaines
7341,AWkq66GRIxWefVJwIFxi,2472 Sycamore Road,"Take Out Restaurants,Fast Food Restaurants,Restaurants,Sandwich Shops",DeKalb,Subway,IL,http://www.subway.com/,subway,"['sandwich', 'take out']",dekalb
7342,AWkq8zd23-Khe5l_3TMh,340 Carroll Avenue,"Take Out Restaurants,Fast Food Restaurants,Restaurants,Sandwich Shops",DeKalb,Subway,IL,http://www.subway.com/,subway,"['sandwich', 'take out']",dekalb
7343,AWkq_evoa4HuVbedlCIL,1578 N Clybourn Avenue,"American Restaurants,Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",Chicago,Urban Burger Bar,IL,http://burgerbarchicago.com/,urban burger bar,"['hamburgers', 'american', 'hot dogs']",chicago
7344,AWkq7XI5IxWefVJwIIKM,2695 Forgue Dr Ste 101,"Take Out Restaurants,Fast Food Restaurants,Chicken Restaurants,Restaurants",Naperville,Wingstop Restaurant,IL,http://www.wingstop.com/,wingstop restaurant,"['chicken', 'take out']",naperville
7345,AWkq95g1IxWefVJwIVac,123 W Irving Park Road,"Caterers,Greek Restaurants,Mediterranean Restaurants,Fast Food Restaurants,Take Out Restaurants,Hamburgers and Hot Dogs,Restaurants",Bensenville,Jim Tom's,IL,https://www.jimandtoms.com/,jim toms,"['greek', 'hamburgers', 'take out', 'caterers', 'mediterranean', 'hot dogs']",bensenville
7346,AWkrH8rOa4HuVbedlnpz,121 Saddle Lane,"Fast Food Restaurants,Take Out Restaurants,Restaurants,Sandwich Shops",Madison,Subway,NE,http://www.subway.com/,subway,"['sandwich', 'take out']",madison
7347,AWkrEROR3-Khe5l_34Rg,716 2nd Street,"Fast Food Restaurants,Take Out Restaurants,Restaurants,Sandwich Shops",Saint Paul,Subway,NE,http://www.subway.com/,subway,"['sandwich', 'take out']",saint paul
7348,AWkrINab3-Khe5l_4IcU,114 W Dodge Road,"Ice Cream and Frozen Desserts,Fast Food Restaurants,Dessert Restaurants,Hamburgers and Hot Dogs,Restaurants",Omaha,Dairy Queen,NE,http://www.dairyqueen.com/,dairy queen,"['hamburgers', 'frozen desserts', 'hot dogs', 'ice cream', 'dessert']",omaha
7349,AWiFh58La4HuVbedgJhb,5071 S 136th Street,"Ice Cream and Frozen Desserts,Fast Food Restaurants,Dessert Restaurants,Hamburgers and Hot Dogs,Restaurants",Omaha,Dairy Queen,NE,https://www.dairyqueen.com/us-en/Locator/Detail/?localechange=1andstore-id=2565,dairy queen,"['hamburgers', 'frozen desserts', 'hot dogs', 'ice cream', 'dessert']",omaha
